product_id,Other,Aldehyde,Amide,Ketone,Ester,Alcohol,Carboxylic Acid,sentiment_score
P479348,1,0,1,0,0,1,0,0.707337704918033
P456392,1,0,0,1,0,0,0,0.707368579234973
P501790,1,0,0,1,0,1,1,0.707387878787879
P402718,1,0,0,1,0,0,0,0.707757525083612
P480603,1,0,0,0,0,1,1,0.708060810810811
P504007,1,0,0,1,0,0,0,0.708121939953811
P9941,1,0,0,1,0,1,0,0.708156777493606
P309306,0,0,0,0,0,0,1,0.708608205128205
P456413,1,0,0,1,0,0,0,0.708636470588235
P38217,1,0,0,1,0,1,0,0.708692913385827
P122718,1,0,0,1,0,1,1,0.709045439330544
P12336,1,0,0,0,0,0,0,0.709200124429697
P482693,1,0,0,1,0,0,1,0.709389714285714
P421996,1,0,0,1,0,1,0,0.709801271354787
P500318,1,0,0,1,0,0,0,0.710242519685039
P467971,1,0,0,1,0,0,0,0.710297297297297
P417118,1,1,0,1,0,0,0,0.710382089552239
P417238,1,1,0,1,0,0,0,0.710698573512725
P481837,1,0,0,1,0,1,0,0.711083333333333
P442838,1,0,0,1,0,0,1,0.71131755888651
P440929,1,0,0,1,0,0,0,0.711364761904762
P470217,1,0,0,1,0,1,0,0.712105699481865
P458209,1,0,1,1,0,0,0,0.712186873156342
P503552,0,0,1,0,0,1,1,0.7122
P405584,1,0,0,1,0,0,0,0.712534333333333
P459141,1,0,0,1,0,1,1,0.713191839220463
P480301,1,0,0,0,0,0,1,0.713191839220463
P479861,1,0,0,1,0,0,0,0.713241176470588
P440491,1,0,0,1,0,1,0,0.71355945945946
P461491,0,0,0,1,0,1,0,0.713650574712644
P479632,1,0,0,1,0,0,0,0.713890951276102
P309310,1,0,0,1,0,0,1,0.714256782334385
P399934,1,0,1,1,1,1,0,0.714354347826087
P444222,0,0,0,1,0,0,1,0.714434366197183
P9940,1,0,0,1,0,1,0,0.714633775633293
P430338,1,0,0,1,0,1,0,0.714954166666667
P400204,0,0,0,0,0,0,0,0.715019825072886
P466117,1,0,0,1,0,0,1,0.715234268833087
P443830,1,0,0,1,1,1,0,0.715768503118503
